instance,input,start,end,duration,sum_of_cpu,average_memory
local-2c16m,145M,2024-12-10T23:38:55Z,2024-12-10T23:41:04Z,102,0.18305206463037008,31763943.619047612
local-2c16m,145M,2024-12-10T23:34:16Z,2024-12-10T23:36:42Z,111,0.14736813452961556,34032746.66666667
local-2c16m,145M,2024-12-10T21:34:43Z,2024-12-10T21:36:59Z,109,0.06528664587941482,31259562.66666666
local-2c16m,145M,2024-12-10T21:28:07Z,2024-12-10T21:30:23Z,111,0.0602083494194706,34369803.81538461
local-2c16m,133M,2024-12-10T21:20:44Z,2024-12-10T21:22:15Z,65,0.06642748722321935,14597888
local-2c16m,133M,2024-12-10T21:17:32Z,2024-12-10T21:19:10Z,71,0.06586390239257164,23522605.176470593
local-2c16m,133M,2024-12-10T21:10:02Z,2024-12-10T21:11:33Z,62,0.06414213897802105,26224450.370370373
local-2c16m,133M,2024-12-10T20:52:14Z,2024-12-10T20:53:56Z,66,0.05974226437143092,24953313.88235294
local-2c16m,133M,2024-11-07T13:19:04Z,2024-11-07T13:20:48Z,70,0.06065047639483248,33007143.384615388
local-2c16m,159M,2024-10-30T20:53:13Z,2024-10-30T20:55:37Z,108,0.059344639976726586,23923591.529411763
local-2c16m,145M,2024-10-30T20:45:23Z,2024-10-30T20:47:36Z,98,0.057201310580100494,23185608.784313723
local-2c16m,133M,2024-10-30T20:40:44Z,2024-10-30T20:44:06Z,147,0.0568718809359267,26879672.32
local-4c8m,159M,2024-12-11T00:06:47Z,2024-12-11T00:08:40Z,77,0.07471952937950958,22674432
local-4c8m,159M,2024-12-11T00:02:00Z,2024-12-11T00:03:50Z,74,0.0615353567502732,41690111.99999999
local-4c8m,159M,2024-12-10T23:58:04Z,2024-12-10T23:59:51Z,71,0.07099557943473529,41136537.60000001
local-4c8m,159M,2024-12-10T23:54:20Z,2024-12-10T23:56:13Z,76,0.06922817464363687,34926592
local-4c8m,145M,2024-12-10T23:51:10Z,2024-12-10T23:52:58Z,71,0.0678992626264197,15250045.155555554
local-4c8m,145M,2024-12-10T23:45:47Z,2024-12-10T23:47:34Z,71,0.06915871904430981,15393132.08888889
local-4c8m,145M,2024-12-10T23:43:31Z,2024-12-10T23:45:07Z,68,0.05890855372804785,26649941.333333332
local-4c8m,145M,2024-12-10T23:39:48Z,2024-12-10T23:41:22Z,67,0.07105325958826748,17571734.974358972
local-4c8m,133M,2024-12-10T23:36:47Z,2024-12-10T23:38:06Z,53,0.06359184535235028,13908329.411764707
local-4c8m,133M,2024-12-10T22:38:24Z,2024-12-10T22:39:52Z,52,0.04170345126871586,17228826.256410256
local-4c8m,133M,2024-12-10T21:35:54Z,2024-12-10T21:37:12Z,50,0.07100086766197483,16046372.571428573
local-4c8m,133M,2024-12-10T21:29:19Z,2024-12-10T21:30:41Z,54,0.07246368675841827,17645883.076923072
local-4c8m,133M,2024-11-07T13:19:42Z,2024-11-07T13:21:12Z,54,0.06361983273280032,42719547.07692307
local-4c8m,159M,2024-10-30T20:54:02Z,2024-10-30T20:55:39Z,70,0.058149340174566085,27736063.999999996
local-4c8m,145M,2024-10-30T20:46:10Z,2024-10-30T20:47:45Z,70,0.06680046606428705,13703850.666666666
local-4c8m,133M,2024-10-30T20:41:19Z,2024-10-30T20:44:43Z,160,0.059305843233748316,12858896.168421052
local-4c16m,159M,2024-12-12T01:08:55Z,2024-12-12T01:10:48Z,77,0.07607579593977391,15568554.666666664
local-4c16m,159M,2024-12-12T01:06:30Z,2024-12-12T01:08:23Z,78,0.07246513874793871,13308546.509803921
local-4c16m,159M,2024-12-12T01:03:38Z,2024-12-12T01:05:32Z,79,0.07024850099109818,33026048.000000007
local-4c16m,159M,2024-12-12T00:59:08Z,2024-12-12T01:01:46Z,122,0.0750986994765306,9680349.866666669
local-4c16m,145M,2024-12-11T00:12:07Z,2024-12-11T00:13:58Z,75,0.0702177681470739,27607932.71794872
local-4c16m,145M,2024-12-11T00:05:39Z,2024-12-11T00:07:17Z,73,0.06992168855208859,40977180.44444444
local-4c16m,145M,2024-12-11T00:02:48Z,2024-12-11T00:04:37Z,74,0.05723921349904038,34188902.4
local-4c16m,145M,2024-12-10T23:55:18Z,2024-12-10T23:57:03Z,69,0.05328175036030756,48459618.46153846
local-4c16m,133M,2024-12-10T23:49:26Z,2024-12-10T23:50:43Z,49,0.04122666225591344,23519232
local-4c16m,133M,2024-12-10T23:46:46Z,2024-12-10T23:48:03Z,51,0.025336213650572224,15122295.466666665
local-4c16m,133M,2024-12-10T23:45:01Z,2024-12-10T23:46:17Z,49,0.005832839273461406,34826240
local-4c16m,133M,2024-12-10T23:40:33Z,2024-12-10T23:42:03Z,54,0.05219483683030678,18452480
local-4c16m,133M,2024-11-07T13:20:21Z,2024-11-07T13:21:52Z,55,0.07091699159756486,15931549.53846154
local-4c16m,159M,2024-10-30T20:54:50Z,2024-10-30T20:56:38Z,73,0.07076368928626128,36467843.28205129
local-4c16m,145M,2024-10-30T20:46:35Z,2024-10-30T20:48:11Z,69,0.06602534101484846,8359439.515151515
local-4c16m,133M,2024-10-30T20:41:37Z,2024-10-30T20:44:56Z,140,0.06514184635025864,12862873.6
cloud-2c2m,159M,2024-12-11T01:32:35Z,2024-12-11T01:34:53Z,104,0.03805710922492162,37993949.86666667
cloud-2c2m,159M,2024-12-11T01:28:31Z,2024-12-11T01:30:53Z,108,0.038386853462558664,31702789.68888889
cloud-2c2m,159M,2024-12-11T01:23:34Z,2024-12-11T01:25:50Z,111,0.03916810791231526,32553903.686274506
cloud-2c2m,159M,2024-12-11T00:36:43Z,2024-12-11T00:39:15Z,118,0.13679227249066642,40653814.89777777
cloud-2c2m,145M,2024-12-11T00:34:15Z,2024-12-11T00:36:12Z,92,0.037524003216102296,30016673.684210517
cloud-2c2m,145M,2024-12-11T00:31:34Z,2024-12-11T00:33:35Z,95,0.09834772367522317,36974381.94871795
cloud-2c2m,145M,2024-12-11T00:28:23Z,2024-12-11T00:30:36Z,99,0.08084434003941827,39802407.38461538
cloud-2c2m,145M,2024-12-11T00:25:47Z,2024-12-11T00:27:57Z,103,0.08505867891035153,36292656.76190476
cloud-2c2m,133M,2024-12-11T00:23:19Z,2024-12-11T00:24:47Z,61,0.047357888568593604,23119018.666666664
cloud-2c2m,133M,2024-12-11T00:20:26Z,2024-12-11T00:21:54Z,61,0.03479150898262482,31505066.66666667
cloud-2c2m,133M,2024-12-11T00:16:56Z,2024-12-11T00:18:26Z,65,0.04446069197250785,32250240.000000004
cloud-2c2m,133M,2024-12-11T00:14:30Z,2024-12-11T00:16:03Z,67,0.0420912557706048,38143544.88888889
cloud-2c2m,159M,2024-10-30T22:53:56Z,2024-10-30T22:56:27Z,118,0.03764454903615159,39617380.848484844
cloud-2c2m,145M,2024-10-30T22:45:50Z,2024-10-30T22:48:08Z,111,0.07929346385061127,54377933.80392156
cloud-2c2m,133M,2024-10-30T22:38:10Z,2024-10-30T22:40:03Z,76,0.03839250419301635,34834928.484848484
cloud-2c4m,159M,2024-12-11T01:33:19Z,2024-12-11T01:35:31Z,96,0.0984462572713945,41895410.87179487
